Niche,App Name,Logo URL,Install Count,Release Date,Rating,Review Count,App Link,Developer
Kids,BrainGain - Brain Training,https://play-lh.googleusercontent.com/SMhOxjKGgTLdigzSpY4MjtvP6lSywj80ZkBITlkNx1MPIHag7DWl9fsJjianx0bK2VtOzYvA4Yi2eigBs0_vMw=w240-h480-rw,1K+,"Feb 3, 2026",4.5,34 reviews,https://play.google.com/store/apps/details?id=brain.training.games.puzzle.iq.test.logic.memory,AIBY Inc.
Kids,Holy Quran: Tasbih & Prayer,https://play-lh.googleusercontent.com/p_7DlWlbJkm0wpA48pIGd01VQDzjQdu4pebqQBYkNYs-Hqwr61G4gbkzDZWL4Zxttd1j5XOyLrfAti2QcnFQ=w240-h480-rw,5K+,"Jan 30, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=com.sas.holyquran.tasbih.prayer,Do It Myself
Kids,Emoji Puzzle: Connect & Match,https://play-lh.googleusercontent.com/rzPTDwc0qRoYIxyItX0_H6ZxFRxQH_4ydj4-h4OSfZBrledEJSSUnnrvVcpSv-U7Oeoud2UwyRf4XRyHJHBjww=w240-h480-rw,10+,"Jan 14, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=com.hes.emojipuzzle.emo.game,HEAR-e Studios
Kids,Chess Session 3D,https://play-lh.googleusercontent.com/BsptI5jPZ9Z9p5FXk4Akkmpmle1UkeSWBb0_dWoQmz33HntK7S2w9y8QVaxSMA8ZXMPz45ENhhjbEjM0oJfoqo4=w240-h480-rw,5+,"Jan 21, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=com.chessses.app,rllu
Kids,Eye Art Beauty Makeup Games,https://play-lh.googleusercontent.com/ftEXp4I0XsFfWbSabo5cMfa8IsMHNYkJtah3KHPx7R_1xmZGwTtWSXWqAOZ2ZtUV5HV19oa6Y3hmqhmUlo2NGQ=w240-h480-rw,10+,"Jan 15, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=com.hes.eyeart.beauty.makeover.games,HEAR-e Studios
Kids,3D Screw Out: Bolt Sort Master,https://play-lh.googleusercontent.com/1qVWsMcTLlLyVv1vib9MPyrngcQyzmzO4mxVJAkKPzbNMmIufLzMfdKaH5ewBbhMV3mh=w240-h480-rw,50K+,"Dec 30, 2025",5.0,1.54K reviews,https://play.google.com/store/apps/details?id=com.screw.pin.jam.puzzle.nuts.color.story.blast,Flyfox Games
Kids,Find Your Match : BUDU,https://play-lh.googleusercontent.com/AVGaZWgvo2zDYoBbjO5ijKb7U3aGbexIryGUtZ4uKwnB0vtEE2eZ7oPM3mJ5e_Ip-YNS73CMOdPGyCX5xt3U=w240-h480-rw,10+,"Dec 25, 2025",N/A,N/A,https://play.google.com/store/apps/details?id=com.bonyon.find_your_match.kart_yakalama,Bonyon.dev
Kids,2048 Pro Offline Glass Edition,https://play-lh.googleusercontent.com/ZhgMwOs9s6SgFRkLaNLkcjnlNNYHuSBSOAhZstw-LfUKGpaW4GJvAh7-m_DtHdtd1CqfM7l3e8atvtXe064C2g=w240-h480-rw,1+,"Jan 28, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=app.mdbtdj.glassedition2048offline,MDBTDJ
Kids,Ghost Hunters 1,https://play-lh.googleusercontent.com/SWG2tN5vgzocA_hgjq5QgI2zQipPkaYvxYwLqCZ6NQuXryZ4mG7EtRtxYwoOMTcJ8sUKdeM64Ie2TUs-5mcHGg=w240-h480-rw,5+,"Jan 20, 2026",N/A,N/A,https://play.google.com/store/apps/details?id=com.eighthfloor.ghosthunters1.premium,8Floor  Games
Kids,Snakes & Ladders Quiz,https://play-lh.googleusercontent.com/FJ8lxTcGgxTP0yAL6oMeaMRviAvioXbbe-_ct_8HhagOy_yUzWsrX-6bZhNqeZ5kOzWFo8d0pRvm3jqoiUvVqA=w240-h480-rw,10+,"Dec 21, 2025",N/A,N/A,https://play.google.com/store/apps/details?id=com.adammcgee.quizsnakesandladders,adammcgee
